n	radius_squared	x	y
1	0/1	0	0
2	1/4	1/2	0
3	25/18	1/6	1/6
4	1/2	1/2	1/2
5	625/18	1/6	1/6
6	25/4	1/2	0
7	138125/242	9/22	5/22
8	5/2	1/2	1/2
9	4225/18	1/6	1/6
10	625/4	1/2	0
11	801125/242	5/22	3/22
12	25/2	1/2	1/2
13	1221025/98	1/14	1/14
14	15625/4	1/2	0
15	105625/18	1/6	1/6
16	65/2	1/2	1/2
17	185870425/578	9/34	1/34
18	4225/4	1/2	0
19	185870425/578	13/34	7/34
20	625/2	1/2	1/2
21	29641625/242	5/22	1/22
22	29641625/242	1/2	9/22
23	30525625/98	5/14	5/14
24	325/2	1/2	1/2
25	17850625/18	1/6	1/6
26	35409725/98	1/2	3/14
27	1221025/18	1/6	1/6
28	15625/2	1/2	1/2
29	3159797225/722	13/38	5/38
30	105625/4	1/2	0
31	763140625/98	3/14	3/14
32	1105/2	1/2	1/2
33	1346691125/162	7/18	1/6
34	11338095925/578	1/2	15/34
35	446265625/18	1/6	1/6
36	4225/2	1/2	1/2
37	3705203125/242	9/22	1/22
38	3705203125/242	1/2	7/22
39	1026882025/98	1/14	1/14
40	8125/2	1/2	1/2
41	2052543025/98	1/14	1/14
42	2640625/4	1/2	0
43	1215306625/242	3/22	1/22
44	9765625/2	1/2	1/2
45	30525625/18	1/6	1/6
46	885243125/98	1/2	1/14
47	132468422125/484	2/11	1/22
48	5525/2	1/2	1/2
49	175389495125/722	11/38	1/38
50	17850625/4	1/2	0
51	64411251125/722	5/38	1/38
52	1310159825/98	3/14	3/14
53	6076533125/242	7/22	1/22
54	1221025/4	1/2	0
55	69438470725/256	3/8	1/16
56	203125/2	1/2	1/2
57	167469252925/722	15/38	5/38
58	167469252925/722	7/38	7/38
59	399598746625/722	17/38	5/38
60	105625/2	1/2	1/2
61	837346264625/484	3/22	1/11
62	22131078125/98	1/2	5/14
63	763140625/18	1/6	1/6
64	27625/2	1/2	1/2
65	2160388179625/1058	7/46	3/46
66	25672050625/98	1/2	1/14
67	51313575625/98	5/14	5/14
68	51313575625/98	1/2	1/14
69	25672050625/98	5/14	5/14
70	446265625/4	1/2	0
71	8102935391525/1058	9/46	3/46
72	71825/2	1/2	1/2
73	12058230426125/1682	15/58	7/58
74	151913328125/242	3/22	3/22
75	5158830625/18	1/6	1/6
76	226017390625/242	9/22	9/22
77	785817263725/722	7/38	5/38
78	37994634925/98	1/2	5/14
79	2280063436625/722	17/38	9/38
80	138125/2	1/2	1/2
81	1026882025/18	1/6	1/6
82	59523747725/98	1/2	3/14
83	4186731323125/484	5/11	3/22
84	2640625/2	1/2	1/2
85	64411251125/242	9/22	3/22
86	64411251125/242	1/22	1/22
87	2846977299725/722	11/38	5/38
88	126953125/2	1/2	1/2
89	1735961768125/256	5/16	1/8
90	30525625/4	1/2	0
91	1735961768125/256	3/8	5/16
92	32753995625/98	1/14	1/14
93	641801265625/98	3/14	3/14
94	1282839390625/98	1/2	5/14
95	1282839390625/98	3/14	3/14
96	160225/2	1/2	1/2
97	26356735791425/1058	9/46	1/46
98	75418890625/4	1/2	0
99	1282839390625/64	1/8	0
100	17850625/2	1/2	1/2
101	7190969300125/722	13/38	11/38
102	3929086318625/722	13/38	7/38
103	3929086318625/722	17/38	9/38
104	69438470725/98	1/14	1/14
105	128970765625/18	1/6	1/6
106	322056255625/242	7/22	7/22
107	322056255625/242	3/22	1/22
108	1221025/2	1/2	1/2
109	128575962633625/1682	23/58	17/58
110	4235746714225/256	1/2	7/16
111	6228446453125/162	7/18	1/18
112	3453125/2	1/2	1/2
113	37518887457025/722	11/38	5/38
114	12225255463525/722	9/38	9/38
115	10215624428425/722	7/38	1/38
116	10215624428425/722	5/38	5/38
117	1405801492225/98	5/14	5/14
118	8145666758125/256	3/8	3/16
119	454719867850625/1922	21/62	1/62
120	1795625/2	1/2	1/2
121	7637512596025/98	5/14	5/14
122	8145666758125/256	3/16	1/8
123	1726188684025/98	1/14	1/14
124	818849890625/98	5/14	5/14
125	1490902050625/18	1/6	1/6
126	763140625/4	1/2	0
127	43399044203125/256	7/16	1/8
128	801125/2	1/2	1/2
129	4522155951625/242	7/22	5/22
130	82562341692025/722	9/38	7/38
131	74523817551625/484	3/22	1/11
132	1650390625/2	1/2	1/2
133	13350143275625/242	5/22	1/22
134	1488093693125/98	1/2	1/14
135	25672050625/18	1/6	1/6
136	1488093693125/98	5/14	5/14
137	642879813168125/1682	21/58	13/58
138	949865873125/98	1/2	3/14
139	1526424492393125/1682	17/58	15/58
140	446265625/2	1/2	1/2
141	959374490420125/1682	19/58	11/58
142	494279058883025/1058	1/2	19/46
143	494279058883025/1058	17/46	7/46
144	2082925/2	1/2	1/2
145	494279058883025/1058	21/46	9/46
146	494279058883025/1058	13/46	13/46
147	880250821107125/1682	25/58	11/58
148	9266713015625/242	1/2	3/22
149	8051406390625/242	7/22	5/22
150	5158830625/4	1/2	0
151	293377538813125/256	3/8	1/16
152	8051406390625/162	7/18	7/18
153	51078122142125/722	13/38	9/38
154	51078122142125/722	7/38	7/38
155	83695979711825/722	3/38	1/38
156	2013715651025/98	1/2	3/14
157	372619087758125/484	5/11	3/22
158	257647168338625/722	9/38	9/38
159	22610779758125/242	9/22	5/22
160	4005625/2	1/2	1/2
161	116726069288725/256	7/16	3/8
162	1026882025/4	1/2	0
163	116726069288725/256	7/16	1/8
164	2202378665825/98	3/14	3/14
165	105338160089825/144	5/12	1/3
166	203641668953125/256	1/8	1/16
167	2185791364771625/1682	21/58	3/58
168	44890625/2	1/2	1/2
169	556062330962125/484	7/22	1/11
170	3929086318625/242	5/22	3/22
171	5732601350125/242	9/22	3/22
172	3929086318625/242	1/2	1/22
173	173665615283225/722	9/38	3/38
174	207829342879925/722	3/38	3/38
175	637821086769425/722	11/38	9/38
176	2158203125/2	1/2	1/2
177	1803792666203125/722	7/38	5/38
178	105893667855625/256	1/2	3/16
179	491135789828125/722	13/38	5/38
180	30525625/2	1/2	1/2
181	4341640382080625/1024	15/32	1/8
182	105893667855625/256	3/16	0
183	4401254105535625/1682	15/58	5/58
184	1735961768125/98	5/14	5/14
185	4796872452100625/1682	27/58	17/58
186	23746646828125/98	1/2	1/14
187	333753581890625/242	5/22	3/22
188	37202342328125/98	3/14	3/14
189	641801265625/18	1/6	1/6
190	37202342328125/98	1/2	5/14
191	2662030314933925/1058	19/46	3/46
192	5928325/2	1/2	1/2
193	2662030314933925/1058	17/46	9/46
194	2662030314933925/1058	1/46	1/46
195	2345749485436825/1058	21/46	7/46
196	75418890625/2	1/2	1/2
197	15456239760207025/1458	23/54	11/54
